CRS,REGIAO_SAU,MUNICIPIO,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
9º CRS,TAPAJOS,ITAITUBA,2701,1671,653,411,101,29,26,2111,780,622
11º CRS,CARAJÁS,ITUPIRANGA,718,718,176,370,0,13,12,1101,188,244
9º CRS,TAPAJOS,JACAREACANGA,4918,4888,78,4694,0,0,0,9582,78,41
11º CRS,LAGO TUCURUÍ,JACUNDA,370,370,180,38,0,0,0,408,180,228
9º CRS,BAIXO AMAZONAS,JURUTI,1037,545,319,0,0,0,0,545,319,146
13º CRS,TOCANTINS,LIMOEIRO DO AJURU,232,232,175,0,0,0,0,232,175,107
5º CRS,METROPOLITANA III,MAE DO RIO,314,314,163,0,0,0,0,314,163,120
3º CRS,METROPOLITANA III,MAGALHAES BARATA,70,70,70,0,0,0,0,70,70,48
11º CRS,CARAJÁS,MARABA,3088,3088,1620,0,0,25,43,3113,1663,2351
3º CRS,METROPOLITANA III,MARACANA,224,224,225,0,0,0,0,224,225,55
3º CRS,METROPOLITANA III,MARAPANIM,383,383,390,0,0,0,0,383,390,294
1º CRS,METROPOLITANA I,MARITUBA,1161,1161,683,0,0,43,43,1204,726,470
10º CRS,XINGU,MEDICILANDIA,189,189,202,0,0,7,0,196,202,185
8º CRS,MARAJO II,MELGACO,256,256,152,0,0,0,0,256,152,134
13º CRS,TOCANTINS,MOCAJUBA,238,237,98,0,0,0,0,237,98,68
6º CRS,TOCANTINS,MOJU,420,420,172,87,66,0,0,507,238,162
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,378,118,52,0,0,0,0,118,52,22
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,1342,389,252,0,0,0,0,389,252,380
7º CRS,MARAJO I,MUANA,192,192,184,0,0,0,0,192,184,108
5º CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,138,118,0,0,0,0,138,118,59
11º CRS,CARAJÁS,NOVA IPIXUNA,127,127,68,0,0,0,0,127,68,61
4º CRS,RIO CAETES,NOVA TIMBOTEUA,146,146,74,0,0,0,0,146,74,45
9º CRS,TAPAJOS,NOVO PROGRESSO,1009,919,140,691,0,0,0,1610,140,119
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,1213,1213,318,590,0,0,0,1803,318,277
9º CRS,BAIXO AMAZONAS,OBIDOS,1305,663,368,181,177,0,0,844,545,229
13º CRS,TOCANTINS,OEIRAS DO PARA,246,246,247,0,0,0,0,246,247,7
9º CRS,BAIXO AMAZONAS,ORIXIMINA,2898,2087,606,1450,646,0,0,3537,1252,855
4º CRS,RIO CAETES,OUREM,126,126,65,0,0,0,0,126,65,68
12º CRS,ARAGUAIA,OURILANDIA DO NORTE,593,1473,229,880,3,4,4,2357,236,102
10º CRS,XINGU,PACAJA,286,286,158,0,0,0,0,286,158,115
11º CRS,CARAJÁS,PALESTINA DO PARA,78,78,82,0,0,0,0,78,82,66
5º CRS,METROPOLITANA III,PARAGOMINAS,2216,2216,1727,777,0,18,17,3011,1744,1374
11º CRS,CARAJÁS,PARAUAPEBAS,3329,3329,1430,1057,1,17,17,4403,1448,1084
12º CRS,ARAGUAIA,PAU D'ARCO,104,284,27,180,0,0,0,464,27,45
4º CRS,RIO CAETES,PEIXE-BOI,68,68,30,0,0,0,0,68,30,26
11º CRS,CARAJÁS,PICARRA,105,105,47,0,0,0,0,105,47,36
9º CRS,BAIXO AMAZONAS,PLACAS,359,209,104,0,0,0,0,209,104,78
7º CRS,MARAJO I,PONTA DE PEDRAS,174,174,134,0,0,0,0,174,134,118
8º CRS,MARAJO II,PORTEL,297,297,292,0,0,0,0,297,292,232
10º CRS,XINGU,PORTO DE MOZ,264,264,196,13,0,0,0,277,196,157
9º CRS,BAIXO AMAZONAS,PRAINHA,492,207,200,0,0,0,0,207,200,304
4º CRS,RIO CAETES,PRIMAVERA,138,138,60,0,0,0,0,138,60,103
4º CRS,RIO CAETES,QUATIPURU,90,90,56,0,0,0,0,90,56,74
12º CRS,ARAGUAIA,REDENCAO,1299,1349,450,50,0,13,0,1412,450,485
12º CRS,ARAGUAIA,RIO MARIA,226,226,39,0,0,0,0,226,39,86
11º CRS,CARAJÁS,RONDON DO PARA,371,371,352,0,0,0,0,371,352,264
9º CRS,TAPAJOS,RUROPOLIS,656,326,239,0,0,0,0,326,239,261
4º CRS,RIO CAETES,SALINOPOLIS,323,323,115,0,0,0,0,323,115,163
7º CRS,MARAJO I,SALVATERRA,117,117,116,0,0,0,0,117,116,8
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,195,193,0,0,0,0,195,193,131
7º CRS,MARAJO I,SANTA CRUZ DO ARARI,84,84,93,0,0,0,0,84,93,38
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,679,679,344,0,0,0,0,679,344,303
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,660,660,96,502,164,0,0,1162,260,241
12º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,240,240,0,0,0,0,0,240,0,11
5º CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,564,142,286,0,0,0,850,142,68
12º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,326,356,0,30,0,13,0,399,0,12
9º CRS,BAIXO AMAZONAS,SANTAREM,13173,9103,2271,3838,0,30,30,12971,2301,3987
4º CRS,RIO CAETES,SANTAREM NOVO,66,66,36,0,0,0,0,66,36,37
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,217,217,153,0,0,0,0,217,153,39
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,118,118,93,0,0,0,0,118,93,53
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,229,229,151,26,0,0,0,255,151,247
3º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,237,242,0,0,0,0,237,242,197
12º CRS,ARAGUAIA,SAO FELIX DO XINGU,627,1379,229,842,0,19,3,2240,232,36
3º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,184,192,0,0,0,0,184,192,98
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,491,491,81,240,158,0,0,731,239,121
3º CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,56,59,0,0,0,0,56,59,28
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,168,63,0,0,0,0,168,63,92
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,164,164,82,0,0,0,0,164,82,69
5º CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,436,387,0,0,0,0,436,387,352
7º CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,196,111,0,0,0,0,196,111,63
12º CRS,ARAGUAIA,SAPUCAIA,82,82,27,0,0,15,8,97,35,9
10º CRS,XINGU,SENADOR JOSE PORFIRIO,670,670,66,544,0,0,0,1214,66,71
7º CRS,MARAJO I,SOURE,145,145,151,0,0,0,0,145,151,120
6º CRS,LAGO TUCURUÍ,TAILANDIA,600,600,451,0,0,0,0,600,451,197
3º CRS,METROPOLITANA III,TERRA ALTA,89,89,98,0,0,0,0,89,98,36
9º CRS,BAIXO AMAZONAS,TERRA SANTA,434,193,127,0,0,0,0,193,127,175
2º CRS,METROPOLITANA II,TOME-ACU,914,557,380,357,182,4,4,918,566,166
4º CRS,RIO CAETES,TRACUATEUA,292,292,85,0,0,0,0,292,85,171
9º CRS,TAPAJOS,TRAIRAO,333,223,97,84,0,0,0,307,97,101
12º CRS,ARAGUAIA,TUCUMA,615,615,70,0,0,0,0,615,70,20
11º CRS,LAGO TUCURUÍ,TUCURUI,1843,1843,829,267,140,13,13,2123,982,896
5º CRS,METROPOLITANA III,ULIANOPOLIS,502,502,282,0,0,0,0,502,282,263
10º CRS,XINGU,URUARA,354,354,177,0,0,0,0,354,177,197
2º CRS,METROPOLITANA II,VIGIA,416,416,152,0,0,0,0,416,152,80
4º CRS,RIO CAETES,VISEU,451,451,104,0,0,0,0,451,104,189
10º CRS,XINGU,VITORIA DO XINGU,539,539,193,283,0,0,0,822,193,148
12º CRS,ARAGUAIA,XINGUARA,640,640,0,0,0,8,0,648,0,226
