CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
3º CRS,METROPOLITANA III,IGARAPE-ACU,347,334,199,0,0,0,0,334,199,283
6º CRS,TOCANTINS,IGARAPE-MIRI,476,466,417,0,0,0,0,466,417,375
3º CRS,METROPOLITANA III,INHANGAPI,100,89,91,0,0,0,0,89,91,83
5º CRS,METROPOLITANA III,IPIXUNA DO PARA,450,387,306,0,0,0,0,387,306,305
5º CRS,METROPOLITANA III,IRITUIA,236,272,220,0,0,0,0,272,220,170
9º CRS,TAPAJOS,ITAITUBA,1671,1222,946,411,209,29,26,1662,1181,828
11º CRS,CARAJÁS,ITUPIRANGA,718,311,250,370,0,13,12,694,262,224
9º CRS,TAPAJOS,JACAREACANGA,4888,187,79,4694,347,0,0,4881,426,58
11º CRS,LAGO TUCURUÍ,JACUNDA,370,288,290,38,0,0,0,326,290,289
9º CRS,BAIXO AMAZONAS,JURUTI,545,536,465,0,0,0,0,536,465,131
13º CRS,TOCANTINS,LIMOEIRO DO AJURU,232,204,175,0,0,0,0,204,175,135
5º CRS,METROPOLITANA III,MAE DO RIO,314,257,194,0,0,0,0,257,194,208
3º CRS,METROPOLITANA III,MAGALHAES BARATA,70,69,51,0,0,0,0,69,51,66
11º CRS,CARAJÁS,MARABA,3088,2773,2303,0,0,25,43,2798,2346,166
3º CRS,METROPOLITANA III,MARACANA,224,218,350,0,0,0,0,218,350,110
3º CRS,METROPOLITANA III,MARAPANIM,383,368,64,0,0,0,0,368,64,346
1º CRS,METROPOLITANA I,MARITUBA,1161,1290,683,0,0,43,41,1333,724,605
10º CRS,XINGU,MEDICILANDIA,189,171,202,0,0,7,0,178,202,206
8º CRS,MARAJO II,MELGACO,256,246,183,0,0,0,0,246,183,190
13º CRS,TOCANTINS,MOCAJUBA,238,214,98,0,0,0,0,214,98,82
6º CRS,TOCANTINS,MOJU,420,307,265,87,66,0,0,394,331,187
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,118,126,91,0,0,0,0,126,91,4
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,389,382,365,0,0,0,0,382,365,647
7º CRS,MARAJO I,MUANA,192,182,194,0,0,0,0,182,194,176
5º CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,138,138,0,0,0,0,138,138,114
11º CRS,CARAJÁS,NOVA IPIXUNA,127,122,119,0,0,0,0,122,119,101
4º CRS,RIO CAETES,NOVA TIMBOTEUA,146,130,154,0,0,0,0,130,154,54
9º CRS,TAPAJOS,NOVO PROGRESSO,919,209,215,691,0,0,0,900,215,187
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,1213,608,422,590,0,0,0,1198,422,343
9º CRS,BAIXO AMAZONAS,OBIDOS,574,421,392,181,177,0,0,602,569,379
13º CRS,TOCANTINS,OEIRAS DO PARA,246,243,247,0,0,0,0,243,247,121
9º CRS,BAIXO AMAZONAS,ORIXIMINA,2087,578,863,1450,1344,0,0,2028,2207,1787
4º CRS,RIO CAETES,OUREM,126,113,115,0,0,0,0,113,115,68
12º CRS,ARAGUAIA,Ourilandia do Norte,593,562,229,880,0,4,0,1446,229,174
10º CRS,XINGU,PACAJA,286,242,168,0,0,0,0,242,168,134
11º CRS,CARAJÁS,PALESTINA DO PARA,78,73,82,0,0,0,0,73,82,66
5º CRS,METROPOLITANA III,PARAGOMINAS,2216,1391,1747,777,0,18,18,2186,1765,1030
11º CRS,CARAJÁS,PARAUAPEBAS,3329,2139,2014,1057,1,17,17,3213,2032,1036
12º CRS,ARAGUAIA,PAU D'ARCO,104,99,45,180,0,0,0,279,45,61
4º CRS,RIO CAETES,PEIXE-BOI,68,69,59,0,0,0,0,69,59,31
11º CRS,CARAJÁS,PICARRA,105,106,90,0,0,0,0,106,90,67
9º CRS,BAIXO AMAZONAS,PLACAS,209,195,172,0,0,0,0,195,172,103
7º CRS,MARAJO I,PONTA DE PEDRAS,174,164,192,0,0,0,0,164,192,146
8º CRS,MARAJO II,PORTEL,297,298,300,0,0,0,0,298,300,238
10º CRS,XINGU,PORTO DE MOZ,264,222,210,13,0,0,0,235,210,168
9º CRS,BAIXO AMAZONAS,PRAINHA,207,215,342,0,0,0,0,215,342,340
4º CRS,RIO CAETES,PRIMAVERA,138,104,140,0,0,0,0,104,140,112
4º CRS,RIO CAETES,QUATIPURU,90,99,96,0,0,0,0,99,96,82
12º CRS,ARAGUAIA,REDENCAO,1299,1228,450,50,0,13,0,1291,450,791
12º CRS,ARAGUAIA,RIO MARIA,226,218,39,0,0,0,0,218,39,104
11º CRS,CARAJÁS,RONDON DO PARA,371,355,364,0,0,0,0,355,364,288
9º CRS,TAPAJOS,RUROPOLIS,326,321,298,0,0,0,0,321,298,314
4º CRS,RIO CAETES,SALINOPOLIS,323,321,293,0,0,0,0,321,293,292
7º CRS,MARAJO I,SALVATERRA,117,116,129,0,0,0,0,116,129,95
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,191,193,0,0,0,0,191,193,144
7º CRS,MARAJO I,SANTA CRUZ DO ARARI,84,110,94,0,0,0,0,110,94,56
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,679,660,475,0,0,0,45,660,520,398
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,660,182,164,502,0,0,0,684,164,293
12º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,240,225,87,0,0,0,0,225,87,104
5º CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,272,142,286,0,0,0,558,142,113
12º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,326,335,339,30,30,13,13,378,382,88
9º CRS,BAIXO AMAZONAS,SANTAREM,9103,4562,2669,3838,0,30,30,8430,2699,1846
4º CRS,RIO CAETES,SANTAREM NOVO,66,64,65,0,0,0,0,64,65,47
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,217,209,193,0,0,0,0,209,193,116
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,118,127,126,0,0,0,0,127,126,78
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,229,193,211,26,0,0,0,219,211,187
3º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,213,201,0,0,0,0,213,201,222
12º CRS,ARAGUAIA,SAO FELIX DO XINGU,627,603,229,842,0,19,0,1464,229,97
3º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,179,103,0,0,0,0,179,103,181
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,491,216,101,240,158,0,0,456,259,50
3º CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,51,42,0,0,0,0,51,42,36
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,160,168,0,0,0,0,160,168,156
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,164,161,83,0,0,0,0,161,83,49
5º CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,457,430,0,0,0,0,457,430,453
7º CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,216,180,0,0,0,0,216,180,109
12º CRS,ARAGUAIA,SAPUCAIA,82,82,27,0,0,15,0,97,27,48
10º CRS,XINGU,SENADOR JOSE PORFIRIO,670,115,96,544,0,0,0,659,96,67
7º CRS,MARAJO I,SOURE,145,194,109,0,0,0,0,194,109,130
6º CRS,LAGO TUCURUÍ,TAILANDIA,600,619,520,0,0,0,0,619,520,279
3º CRS,METROPOLITANA III,TERRA ALTA,89,85,46,0,0,0,0,85,46,70
9º CRS,BAIXO AMAZONAS,TERRA SANTA,193,172,215,0,0,0,0,172,215,223
2º CRS,METROPOLITANA II,TOME-ACU,914,559,528,357,190,4,4,920,722,361
4º CRS,RIO CAETES,TRACUATEUA,292,342,225,0,0,0,0,342,225,210
9º CRS,TAPAJOS,TRAIRAO,223,137,129,84,49,0,0,221,178,112
12º CRS,ARAGUAIA,TUCUMA,615,584,70,0,0,0,0,584,70,72
11º CRS,LAGO TUCURUÍ,TUCURUI,1843,1451,1379,267,140,13,13,1731,1532,1069
5º CRS,METROPOLITANA III,ULIANOPOLIS,502,498,295,0,0,0,0,498,295,304
10º CRS,XINGU,URUARA,354,351,185,0,0,0,0,351,185,197
2º CRS,METROPOLITANA II,VIGIA,416,427,226,0,0,0,0,427,226,103
4º CRS,RIO CAETES,VISEU,451,454,330,0,0,0,0,454,330,252
10º CRS,XINGU,VITORIA DO XINGU,539,243,222,283,0,0,0,526,222,216
12º CRS,ARAGUAIA,XINGUARA,640,621,409,0,0,8,12,629,421,392
