CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
5 CRS,METROPOLITANA III,MAE DO RIO,314,257,272,0,0,0,0,257,272,267
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,138,138,0,0,0,0,138,138,137
5 CRS,METROPOLITANA III,PARAGOMINAS,2216,1391,1343,777,470,18,18,2186,1831,1733
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,272,201,286,151,0,0,558,352,338
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,457,444,0,0,0,0,457,444,439
5 CRS,METROPOLITANA III,ULIANOPOLIS,502,498,355,0,0,0,0,498,355,355
6 CRS,TOCANTINS,ABAETETUBA,1595,1664,1664,0,0,0,0,1664,1664,1325
6 CRS,TOCANTINS,BARCARENA,1638,1560,1531,0,0,0,1,1560,1532,1587
6 CRS,TOCANTINS,IGARAPE-MIRI,476,466,466,0,0,0,0,466,466,424
6 CRS,TOCANTINS,MOJU,420,307,307,87,66,0,0,394,373,199
6 CRS,LAGO TUCURUI,TAILANDIA,600,619,619,0,0,0,0,619,619,438
7 CRS,MARAJO I,AFUA,322,331,300,0,0,0,0,331,300,299
7 CRS,MARAJO I,CACHOEIRA DO ARARI,133,97,136,0,0,0,0,97,136,139
7 CRS,MARAJO I,CHAVES,158,142,194,0,0,0,0,142,194,129
7 CRS,MARAJO I,MUANA,192,182,194,0,0,0,0,182,194,200
7 CRS,MARAJO I,PONTA DE PEDRAS,174,164,192,0,0,0,0,164,192,184
7 CRS,MARAJO I,SALVATERRA,117,116,129,0,0,0,0,116,129,130
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,84,110,94,0,0,0,0,110,94,94
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,216,180,0,0,0,0,216,180,184
7 CRS,MARAJO I,SOURE,145,194,109,0,0,0,0,194,109,139
8 CRS,MARAJO II,ANAJAS,164,158,170,0,0,0,0,158,170,170
8 CRS,MARAJO II,BAGRE,187,182,194,0,0,0,0,182,194,195
8 CRS,MARAJO II,BREVES,859,792,759,0,0,0,0,792,759,751
8 CRS,MARAJO II,CURRALINHO,151,167,186,0,0,0,0,167,186,184
8 CRS,MARAJO II,GURUPA,277,336,303,0,0,0,0,336,303,304
8 CRS,MARAJO II,MELGACO,256,246,188,0,0,0,0,246,188,186
8 CRS,MARAJO II,PORTEL,297,298,300,0,0,0,0,298,300,294
9 CRS,BAIXO AMAZONAS,ALENQUER,465,449,361,0,0,7,0,456,361,839
9 CRS,BAIXO AMAZONAS,ALMEIRIM,289,308,289,0,0,0,0,308,289,467
9 CRS,TAPAJOS,AVEIRO,420,105,110,320,0,0,0,425,110,142
9 CRS,BAIXO AMAZONAS,BELTERRA,459,153,124,320,0,0,0,473,124,66
9 CRS,BAIXO AMAZONAS,CURUA,94,85,90,0,0,0,0,85,90,165
9 CRS,BAIXO AMAZONAS,FARO,153,152,155,0,0,0,0,152,155,231
9 CRS,TAPAJOS,ITAITUBA,1671,1222,1138,411,209,29,26,1662,1373,990
9 CRS,TAPAJOS,JACAREACANGA,4888,187,80,4694,680,0,0,4881,760,183
9 CRS,BAIXO AMAZONAS,JURUTI,545,536,478,0,0,0,0,536,478,138
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,118,126,115,0,0,0,0,126,115,0
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,389,382,365,0,0,0,0,382,365,801
9 CRS,TAPAJOS,NOVO PROGRESSO,919,209,227,691,0,0,0,900,227,226
9 CRS,BAIXO AMAZONAS,OBIDOS,574,421,392,181,177,0,0,602,569,798
9 CRS,BAIXO AMAZONAS,ORIXIMINA,2087,578,863,1450,1344,0,0,2028,2207,2086
9 CRS,BAIXO AMAZONAS,PLACAS,209,195,188,0,0,0,0,195,188,146
9 CRS,BAIXO AMAZONAS,PRAINHA,207,215,342,0,0,0,0,215,342,426
9 CRS,TAPAJOS,RUROPOLIS,326,321,334,0,0,0,0,321,334,440
9 CRS,BAIXO AMAZONAS,SANTAREM,9103,4562,3130,3838,0,30,30,8430,3160,5115
9 CRS,BAIXO AMAZONAS,TERRA SANTA,193,172,215,0,0,0,0,172,215,326
9 CRS,TAPAJOS,TRAIRAO,223,137,133,84,84,0,0,221,217,167
