CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
12º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,895,854,715,0,0,10,0,864,715,447
2º CRS,METROPOLITANA II,CONCORDIA DO PARA,220,211,304,0,0,0,0,211,304,142
12º CRS,ARAGUAIA,CUMARU DO NORTE,115,124,38,780,0,0,0,904,38,41
11º CRS,CARAJÁS,CURIONOPOLIS,166,159,65,0,0,0,5,159,70,47
8º CRS,MARAJO II,CURRALINHO,151,167,166,0,0,0,0,167,166,113
9º CRS,BAIXO AMAZONAS,CURUA,94,85,90,0,0,0,0,85,90,71
3º CRS,METROPOLITANA III,CURUCA,329,309,335,0,0,0,0,309,335,283
5º CRS,CARAJÁS,DOM ELISEU,455,514,161,0,0,0,0,514,161,172
11º CRS,CARAJÁS,ELDORADO DOS CARAJAS,193,187,193,0,0,0,0,187,193,160
9º CRS,BAIXO AMAZONAS,FARO,153,152,149,0,0,0,0,152,149,77
12º CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,234,230,102,0,0,0,0,230,102,61
5º CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,506,200,0,0,0,0,506,200,87
11º CRS,LAGO TUCURUÍ,GOIANESIA DO PARA,321,280,182,42,37,0,0,322,219,118
8º CRS,MARAJO II,GURUPA,277,336,283,0,0,0,0,336,283,209
3º CRS,METROPOLITANA III,IGARAPE-ACU,347,334,199,0,0,0,0,334,199,207
6º CRS,TOCANTINS,IGARAPE-MIRI,476,466,379,0,0,0,0,466,379,320
3º CRS,METROPOLITANA III,INHANGAPI,100,89,91,0,0,0,0,89,91,73
5º CRS,METROPOLITANA III,IPIXUNA DO PARA,450,387,306,0,0,0,0,387,306,25
5º CRS,METROPOLITANA III,IRITUIA,236,272,220,0,0,0,0,272,220,112
9º CRS,TAPAJOS,ITAITUBA,1671,1222,916,411,209,29,26,1662,1151,622
11º CRS,CARAJÁS,ITUPIRANGA,718,311,232,370,0,13,12,694,244,244
9º CRS,TAPAJOS,JACAREACANGA,4888,187,78,4694,161,0,0,4881,239,41
11º CRS,LAGO TUCURUÍ,JACUNDA,370,288,250,38,0,0,0,326,250,228
9º CRS,BAIXO AMAZONAS,JURUTI,545,536,437,0,0,0,0,536,437,146
13º CRS,TOCANTINS,LIMOEIRO DO AJURU,232,204,175,0,0,0,0,204,175,107
5º CRS,METROPOLITANA III,MAE DO RIO,314,257,194,0,0,0,0,257,194,120
3º CRS,METROPOLITANA III,MAGALHAES BARATA,70,69,51,0,0,0,0,69,51,48
11º CRS,CARAJÁS,MARABA,3088,2773,2143,0,0,25,43,2798,2186,2351
3º CRS,METROPOLITANA III,MARACANA,224,218,350,0,0,0,0,218,350,55
3º CRS,METROPOLITANA III,MARAPANIM,383,368,64,0,0,0,0,368,64,294
1º CRS,METROPOLITANA I,MARITUBA,1161,1290,683,0,0,43,41,1333,724,470
10º CRS,XINGU,MEDICILANDIA,189,171,202,0,0,7,0,178,202,185
8º CRS,MARAJO II,MELGACO,256,246,183,0,0,0,0,246,183,134
13º CRS,TOCANTINS,MOCAJUBA,238,214,98,0,0,0,0,214,98,68
6º CRS,TOCANTINS,MOJU,420,307,212,87,66,0,0,394,278,162
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,118,126,71,0,0,0,0,126,71,22
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,389,382,365,0,0,0,0,382,365,380
7º CRS,MARAJO I,MUANA,192,182,184,0,0,0,0,182,184,108
5º CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,138,138,0,0,0,0,138,138,59
11º CRS,CARAJÁS,NOVA IPIXUNA,127,122,119,0,0,0,0,122,119,61
4º CRS,RIO CAETES,NOVA TIMBOTEUA,146,130,154,0,0,0,0,130,154,45
9º CRS,TAPAJOS,NOVO PROGRESSO,919,209,186,691,0,0,0,900,186,119
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,1213,608,358,590,0,0,0,1198,358,277
9º CRS,BAIXO AMAZONAS,OBIDOS,574,421,379,181,177,0,0,602,556,229
13º CRS,TOCANTINS,OEIRAS DO PARA,246,243,247,0,0,0,0,243,247,7
9º CRS,BAIXO AMAZONAS,ORIXIMINA,2087,578,863,1450,646,0,0,2028,1509,855
4º CRS,RIO CAETES,OUREM,126,113,115,0,0,0,0,113,115,68
12º CRS,ARAGUAIA,Ourilandia do Norte,593,562,229,880,0,4,0,1446,229,102
10º CRS,XINGU,PACAJA,286,242,164,0,0,0,0,242,164,115
11º CRS,CARAJÁS,PALESTINA DO PARA,78,73,82,0,0,0,0,73,82,66
5º CRS,METROPOLITANA III,PARAGOMINAS,2216,1391,1747,777,0,18,18,2186,1765,1374
11º CRS,CARAJÁS,PARAUAPEBAS,3329,2139,1220,1057,1,17,17,3213,1238,1084
12º CRS,ARAGUAIA,PAU D'ARCO,104,99,45,180,0,0,0,279,45,45
4º CRS,RIO CAETES,PEIXE-BOI,68,69,59,0,0,0,0,69,59,26
11º CRS,CARAJÁS,PICARRA,105,106,80,0,0,0,0,106,80,36
9º CRS,BAIXO AMAZONAS,PLACAS,209,195,148,0,0,0,0,195,148,78
7º CRS,MARAJO I,PONTA DE PEDRAS,174,164,134,0,0,0,0,164,134,118
8º CRS,MARAJO II,PORTEL,297,298,300,0,0,0,0,298,300,232
10º CRS,XINGU,PORTO DE MOZ,264,222,210,13,0,0,0,235,210,157
9º CRS,BAIXO AMAZONAS,PRAINHA,207,215,342,0,0,0,0,215,342,304
4º CRS,RIO CAETES,PRIMAVERA,138,104,140,0,0,0,0,104,140,103
4º CRS,RIO CAETES,QUATIPURU,90,99,96,0,0,0,0,99,96,74
12º CRS,ARAGUAIA,REDENCAO,1299,1228,450,50,0,13,0,1291,450,485
12º CRS,ARAGUAIA,RIO MARIA,226,218,39,0,0,0,0,218,39,86
11º CRS,CARAJÁS,RONDON DO PARA,371,355,364,0,0,0,0,355,364,264
9º CRS,TAPAJOS,RUROPOLIS,326,321,262,0,0,0,0,321,262,261
4º CRS,RIO CAETES,SALINOPOLIS,323,321,293,0,0,0,0,321,293,163
7º CRS,MARAJO I,SALVATERRA,117,116,116,0,0,0,0,116,116,8
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,191,193,0,0,0,0,191,193,131
7º CRS,MARAJO I,SANTA CRUZ DO ARARI,84,110,93,0,0,0,0,110,93,38
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,679,660,427,0,0,0,45,660,472,303
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,660,182,164,502,0,0,0,684,164,241
12º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,240,225,87,0,0,0,0,225,87,11
5º CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,272,142,286,0,0,0,558,142,68
12º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,326,335,86,30,0,13,0,378,86,12
9º CRS,BAIXO AMAZONAS,SANTAREM,9103,4562,2.629,3.838,0,30,0,8430,2629,3987
4º CRS,RIO CAETES,SANTAREM NOVO,66,64,65,0,0,0,0,64,65,37
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,217,209,153,0,0,0,0,209,153,39
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,118,127,111,0,0,0,0,127,111,53
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,229,193,201,26,0,0,0,219,201,247
3º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,213,201,0,0,0,0,213,201,197
12º CRS,ARAGUAIA,SAO FELIX DO XINGU,627,603,229,842,0,19,0,1464,229,36
3º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,179,103,0,0,0,0,179,103,98
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,491,216,99,240,158,0,0,456,257,121
3º CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,51,42,0,0,0,0,51,42,28
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,160,168,0,0,0,0,160,168,92
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,164,161,83,0,0,0,0,161,83,69
5º CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,457,430,0,0,0,0,457,430,352
7º CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,216,111,0,0,0,0,216,111,63
12º CRS,ARAGUAIA,SAPUCAIA,82,82,27,0,0,15,0,97,27,9
10º CRS,XINGU,SENADOR JOSE PORFIRIO,670,115,96,544,0,0,0,659,96,71
7º CRS,MARAJO I,SOURE,145,194,151,0,0,0,0,194,151,120
6º CRS,LAGO TUCURUÍ,TAILANDIA,600,619,477,0,0,0,0,619,477,197
3º CRS,METROPOLITANA III,TERRA ALTA,89,85,46,0,0,0,0,85,46,36
9º CRS,BAIXO AMAZONAS,TERRA SANTA,193,172,215,0,0,0,0,172,215,175
2º CRS,METROPOLITANA II,TOME-ACU,914,559,518,357,182,4,4,920,704,166
4º CRS,RIO CAETES,TRACUATEUA,292,342,225,0,0,0,0,342,225,171
9º CRS,TAPAJOS,TRAIRAO,223,137,124,84,25,0,0,221,149,101
12º CRS,ARAGUAIA,TUCUMA,615,584,70,0,0,0,0,584,70,20
11º CRS,LAGO TUCURUÍ,TUCURUI,1843,1451,922,267,140,13,13,1731,1075,896
5º CRS,METROPOLITANA III,ULIANOPOLIS,502,498,295,0,0,0,0,498,295,263
10º CRS,XINGU,URUARA,354,351,184,0,0,0,0,351,184,197
2º CRS,METROPOLITANA II,VIGIA,416,427,184,0,0,0,0,427,184,80
4º CRS,RIO CAETES,VISEU,451,454,330,0,0,0,0,454,330,189
10º CRS,XINGU,VITORIA DO XINGU,539,243,222,283,0,0,0,526,222,148
12º CRS,ARAGUAIA,XINGUARA,640,621,409,0,0,8,12,629,421,226
