CRS,REGIAO_SAU,MUNICIPIO,TRAB_SAUDE_40,TRAB_SAUDE_40_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC
9º CRS,BAIXO AMAZONAS,CURUA,48,42,0,0,0,0
3º CRS,METROPOLITANA III,CURUCA,176,336,0,0,0,0
5ºCRS,CARAJÁS,DOM ELISEU,294,85,0,0,0,0
11º CRS,CARAJÁS,ELDORADO DOS CARAJAS,107,98,0,0,0,0
9º CRS,BAIXO AMAZONAS,FARO,87,59,0,0,0,0
12ºCRS,ARAGUAIA,FLORESTA DO ARAGUAIA,132,26,0,0,0,0
5ºCRS,METROPOLITANA III,GARRAFAO DO NORTE,289,121,0,0,0,0
11º CRS,LAGO TUCURUÍ,GOIANESIA DO PARA,160,99,42,36,0,0
8º CRS,MARAJO II,GURUPA,159,159,0,144,0,0
3º CRS,METROPOLITANA III,IGARAPE-ACU,191,101,0,0,0,0
6º CRS,TOCANTINS,IGARAPE-MIRI,266,158,0,0,0,0
3º CRS,METROPOLITANA III,INHANGAPI,51,351,0,0,0,0
5ºCRS,METROPOLITANA III,IPIXUNA DO PARA,221,148,0,0,0,0
5ºCRS,METROPOLITANA III,IRITUIA,155,0,0,0,0,0
9º CRS,TAPAJOS,ITAITUBA,698,418,411,101,29,26
11º CRS,CARAJÁS,ITUPIRANGA,178,143,370,0,13,12
9º CRS,TAPAJOS,JACAREACANGA,107,27,4694,0,0,0
11º CRS,LAGO TUCURUÍ,JACUNDA,165,82,38,0,0,0
9º CRS,BAIXO AMAZONAS,JURUTI,306,182,0,0,0,0
13º CRS,TOCANTINS,LIMOEIRO DO AJURU,117,82,0,0,0,0
5ºCRS,METROPOLITANA III,MAE DO RIO,147,118,0,0,0,0
3º CRS,METROPOLITANA III,MAGALHAES BARATA,40,70,0,0,0,0
11º CRS,CARAJÁS,MARABA,1584,822,0,0,25,43
3º CRS,METROPOLITANA III,MARACANA,125,225,0,0,0,0
3º CRS,METROPOLITANA III,MARAPANIM,210,390,0,0,0,0
1º CRS,METROPOLITANA I,MARITUBA,737,530,0,0,43,0
10º CRS,XINGU,MEDICILANDIA,98,93,0,0,7,0
8º CRS,MARAJO II,MELGACO,141,19,0,19,0,0
13º CRS,TOCANTINS,MOCAJUBA,122,42,0,0,0,0
6º CRS,TOCANTINS,MOJU,175,116,87,66,0,0
9º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,72,48,0,0,0,0
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,218,178,0,0,0,0
7ºCRS,MARAJO I,MUANA,104,96,0,0,0,0
5ºCRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,79,78,0,0,0,0
11º CRS,CARAJÁS,NOVA IPIXUNA,70,62,0,0,0,0
4º CRS,RIO CAETES,NOVA TIMBOTEUA,74,74,0,0,0,0
9º CRS,TAPAJOS,NOVO PROGRESSO,120,66,691,0,0,0
11º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,347,248,590,0,0,0
9º CRS,BAIXO AMAZONAS,OBIDOS,240,189,181,177,0,0
13º CRS,TOCANTINS,OEIRAS DO PARA,139,129,0,0,0,0
9º CRS,BAIXO AMAZONAS,ORIXIMINA,330,260,1450,0,0,0
4º CRS,RIO CAETES,OUREM,65,65,0,0,0,0
12ºCRS,ARAGUAIA,Ourilandia do Norte,321,229,880,0,4,4
10º CRS,XINGU,PACAJA,138,72,0,0,0,0
11º CRS,CARAJÁS,PALESTINA DO PARA,42,10,0,0,0,0
5ºCRS,METROPOLITANA III,PARAGOMINAS,795,794,777,0,18,17
11º CRS,CARAJÁS,PARAUAPEBAS,1222,966,1057,0,17,17
12ºCRS,ARAGUAIA,PAU D'ARCO,57,27,180,0,0,0
4º CRS,RIO CAETES,PEIXE-BOI,39,30,0,0,0,0
11º CRS,CARAJÁS,PICARRA,60,41,0,0,0,0
9º CRS,BAIXO AMAZONAS,PLACAS,111,69,0,0,0,0
7ºCRS,MARAJO I,PONTA DE PEDRAS,94,73,0,0,0,0
8º CRS,MARAJO II,PORTEL,170,143,0,143,0,0
10º CRS,XINGU,PORTO DE MOZ,127,102,13,0,0,0
9º CRS,BAIXO AMAZONAS,PRAINHA,123,123,0,0,0,0
4º CRS,RIO CAETES,PRIMAVERA,60,60,0,0,0,0
4º CRS,RIO CAETES,QUATIPURU,56,56,0,0,0,0
12ºCRS,ARAGUAIA,REDENCAO,702,450,50,0,13,0
12ºCRS,ARAGUAIA,RIO MARIA,124,39,0,0,0,0
11º CRS,CARAJÁS,RONDON DO PARA,203,178,0,0,0,178
9º CRS,TAPAJOS,RUROPOLIS,184,178,0,0,0,0
4º CRS,RIO CAETES,SALINOPOLIS,183,115,0,0,0,0
7ºCRS,MARAJO I,SALVATERRA,66,66,0,0,0,0
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,109,0,0,0,0,0
7ºCRS,MARAJO I,SANTA CRUZ DO ARARI,63,63,0,0,0,0
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,377,0,0,0,0,0
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,104,96,502,0,0,0
12ºCRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,128,0,0,0,0,0
5ºCRS,METROPOLITANA III,SANTA MARIA DO PARA,155,115,286,0,0,0
12ºCRS,ARAGUAIA,SANTANA DO ARAGUAIA,191,0,30,0,13,0
9º CRS,BAIXO AMAZONAS,SANTAREM,2607,1540,3838,0,30,30
4º CRS,RIO CAETES,SANTAREM NOVO,36,36,0,0,0,0
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,119,0,0,0,0,0
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,73,59,0,0,0,0
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,110,107,26,0,0,0
3º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,122,242,0,0,0,0
12ºCRS,ARAGUAIA,SAO FELIX DO XINGU,344,229,752,0,19,3
3º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,102,192,0,0,0,0
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,123,60,240,158,0,0
3º CRS,METROPOLITANA III,SAO JOAO DA PONTA,29,59,0,0,0,0
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,91,63,0,0,0,0
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,92,78,0,0,0,0
5ºCRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,261,221,0,0,0,0
7ºCRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,123,86,0,0,0,0
12ºCRS,ARAGUAIA,SAPUCAIA,47,27,0,0,15,8
10º CRS,XINGU,SENADOR JOSE PORFIRIO,66,35,544,0,0,0
7ºCRS,MARAJO I,SOURE,111,111,0,0,0,0
6º CRS,LAGO TUCURUÍ,TAILANDIA,354,201,0,0,0,0
3º CRS,METROPOLITANA III,TERRA ALTA,48,98,0,0,0,0
9º CRS,BAIXO AMAZONAS,TERRA SANTA,98,90,0,0,0,0
2º CRS,METROPOLITANA II,TOME-ACU,319,0,357,0,4,4
4º CRS,RIO CAETES,TRACUATEUA,195,85,0,0,0,0
9º CRS,TAPAJOS,TRAIRAO,78,49,84,0,0,0
12ºCRS,ARAGUAIA,TUCUMA,334,70,0,0,0,0
11º CRS,LAGO TUCURUÍ,TUCURUI,829,476,267,140,13,13
5ºCRS,METROPOLITANA III,ULIANOPOLIS,285,230,0,0,0,0
10º CRS,XINGU,URUARA,200,65,0,0,0,0
2º CRS,METROPOLITANA II,VIGIA,244,0,0,0,0,0
4º CRS,RIO CAETES,VISEU,260,104,0,0,0,0
10º CRS,XINGU,VITORIA DO XINGU,139,0,283,0,0,0
12ºCRS,ARAGUAIA,XINGUARA,355,0,0,0,8,0
